ID,이름,영문명,권장 레벨,주요 속성,타입,설명,보스
1,잊혀진 숲,Forgotten Forest,1-5,없음,Normal,마을 근처의 안전한 숲. 초보 모험가의 첫 발걸음,
2,고블린 동굴,Goblin Cave,5-10,없음,Normal,고블린들이 점거한 어두운 동굴,고블린 족장 (Goblin Chief)
3,불타는 광산,Burning Mine,11-15,🔥 화염,Normal,용암이 흐르는 위험한 광산. 화염 저항 필수,화염의 군주 (Flame Lord)
4,얼어붙은 호수,Frozen Lake,11-15,❄️ 냉기,Normal,영원히 얼어붙은 호수. 냉기 저항 권장,서리 마녀 (Frost Witch)
5,폭풍의 봉우리,Storm Peak,15-20,⚡ 번개,Normal,끊임없이 번개가 치는 산봉우리,천둥의 왕 (Thunder King)
6,수몰된 신전,Sunken Temple,15-20,💧 수속성,Normal,바다 밑에 가라앉은 고대 신전,심해의 사제 (Abyssal Priest)
7,성스러운 대성당,Holy Cathedral,21-25,✨ 신성,Normal,타락한 성직자들이 점거한 대성당,타락한 대주교 (Corrupted Archbishop)
8,어둠의 묘지,Dark Cemetery,21-25,🌑 암흑,Normal,언데드가 들끓는 저주받은 묘지,리치 킹 (Lich King)
9,용의 둥지,Dragon's Nest,26-30,복합 (화염/번개),Normal,드래곤들이 서식하는 위험한 영역,고대 드래곤 (Ancient Dragon)
10,혼돈의 균열,Chaos Rift,31-35,복합 (모든 속성),Elite,차원의 틈새에서 쏟아지는 혼돈의 존재들,혼돈의 화신 (Avatar of Chaos)
11,잊혀진 왕국,Forgotten Kingdom,35-40,신성/암흑,Elite,멸망한 고대 왕국의 폐허,몰락한 왕 (Fallen King)
12,심연의 궁전,Palace of the Abyss,41-45,암흑,Elite,심연의 지배자가 통치하는 어둠의 궁전,심연의 군주 (Abyssal Lord)
13,천상의 탑,Celestial Tower,45-50,신성,Elite,천상에 닿은 고대의 탑. 최강의 시련이 기다린다,심판자 (The Arbiter)
14,시공의 틈새,Temporal Rift,51-55,복합 (시간),Elite,시간의 흐름이 뒤틀린 차원의 틈새,시간의 수호자 (Temporal Guardian)
15,공허의 심연,Void Abyss,55-60,암흑/공허,Elite,모든 빛이 사라진 공허의 끝,공허의 지배자 (Void Overlord)
16,깊은 심해,Abyssal Depths,61-65,💧 수속성/암흑,Elite,빛조차 닿지 않는 심해의 최심부,심해의 크라켄 (Kraken of the Depths)
17,각성의 제단,Altar of Awakening,65-70,복합 (모든 속성),Elite,잠든 힘을 깨우는 고대의 제단,깨어난 고대신 (Awakened Ancient God)
18,잊혀진 문명의 폐허,Ruins of the Lost Civilization,71-75,복합,Elite,신들조차 잊은 초고대 문명의 유적,고대 문명의 수호자 (Guardian of the Lost)
19,시련의 탑 100층,Tower of Trials - 100F,75-80,무작위,Elite (층별 변동),매 층마다 다른 시련이 기다리는 무한의 탑,탑의 최종 수호자 (Final Keeper of the Tower)
20,붕괴하는 차원,Collapsing Dimension,81-85,혼돈,Elite,존재 자체가 붕괴하고 있는 차원,차원의 파괴자 (Dimension Destroyer)
21,초월자의 영역,Realm of Transcendence,85-90,초월,Elite,한계를 초월한 자들만이 도달할 수 있는 영역,초월한 자 (The Transcendent One)
22,신들의 전장,Battlefield of Gods,91-95,신성/혼돈,Elite,신들이 전쟁을 벌인 전설의 전장,"전쟁의 신 아레스 (Ares, God of War)"
23,창세의 정원,Garden of Genesis,95-100,창세,Elite (최종),세계가 시작된 곳. 모든 것의 기원,창조신의 그림자 (Shadow of the Creator)
101,세계수의 뿌리,Roots of Yggdrasil,30+,복합,Raid,레이드 던전,세계수의 수호자 (Guardian of Yggdrasil)
102,마왕성,Demon King's Castle,40+,복합,Raid,레이드 던전,마왕 발더스 (Demon King Valdeus)
103,창세의 균열,Genesis Rift,50,복합,Raid,레이드 던전,창세의 관찰자 (The Observer of Genesis)
104,차원의 심장,Heart of Dimensions,60+,복합,Raid,레이드 던전,차원의 구현체 (Dimensional Incarnation)
105,용신의 무덤,Tomb of the Dragon God,70+,복합,Raid,레이드 던전,용신 티아마트 (Dragon God Tiamat)
106,죽음의 왕좌,Throne of Death,80+,복합,Raid,레이드 던전,죽음의 지배자 (Lord of Death)
107,태양신의 궁전,Palace of the Sun God,90+,복합,Raid,레이드 던전,태양신 라 (Sun God Ra)
108,신들의 황혼,Twilight of the Gods,100,복합,Raid,레이드 던전,원초의 신 (Primordial God) / 히든: 창조신 (The Creator)
109,붕괴한 증권거래소,Collapsed Exchange,50-55,복합,Raid,주가 변동성과 공포가 실체화된 레이드 던전,블랙 스완 집행자 (Black Swan Enforcer)
